Kysymys,Vaihtoehto2,Vaihtoehto3,Vaihtoehto4, Vastaus 
Montako grammaa kissan karvaa tarvitaan tekemään villapaitaa?,5000,10000,20000,1000 
Kuinka monta aikavyöhykettä Venäjällä on?,5,4,9,11 
Kuinka monta raitaa Yhdysvaltain lipussa on?,11,12,14.13 
Millä valtiolla on eniten saaria?,Italiassa,Caribben Islands,Filippeneillä, Ruotsilla 
Mikä on 2000-luvun myydyin kirjasarja?,Taru Sormusten Herrasta,Risto Räppääjä,Shrek, Harry Potter 
Minä vuonna Netflix perustettiin,2001,2009,2014,1997 
Mikä oli Pixarin ensimmäinen kokoillan elokuva?,Leijonakuningas,Prinsessa Ruusunen,Tehotytöt, Toy Story 
Mikä sormi on latinaksi digitus secundus manus?,Nimetön,Pikkurilli,Peukalo, Etusormi 
Mikä valtio on maailman suurin kullantuottajamaa?,Ghana,Amerikka,Kanada, Kiina 
Käteisrahana euro tuli käyttöön Suomessa,2001,2000,2003,2002 